name,referentNumber,nameSection,webpageUrl,adressSection,type,address,city
Marel Further Processing B.V.,16059374,"Marel Further Processing B.V. 4.7  (3) 
Machining manufacturer in Boxmeer, Netherlands",/url?q=https://marel.com/%3Futm_source%3Dgoogle%26utm_medium%3DMyBusiness%26utm_campaign%3Dboxmeer-fp&sa=U&ved=2ahUKEwjMudGlquj9AhVELEQIHb0NA04QgU96BAgMEAQ&usg=AOvVaw3ehY9ewLQAmcZLJVgwdMSy,"Address: Handelstraat 3, 5831 AV Boxmeer, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 485 586 122",Mach,"Handelstraat 3, 5831 AV Boxmeer",Boxmeer
MAQQIE Vaster B.V.,75147211,"Maqqie 4.7  (63) 
Human resource consulting in Sliedrecht, Netherlands",/url?q=https://maqqie.nl/&sa=U&ved=2ahUKEwjh8dujquj9AhXFJkQIHRavBLYQgU96BAgLEAQ&usg=AOvVaw3PU9Rv2Q6xhkIGFnrgm4Ve,"Address: Trapezium 224, 3364 DL Sliedrecht, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 88 010 7500",Human resource consult,"Trapezium 224, 3364 DL Sliedrecht",Sliedrecht
Mapscape B.V.,17210210,"Mapscape B.V. 4.7  (29) 
Software company in Eindhoven, Netherlands",/url?q=http://www.mapscape.eu/&sa=U&ved=2ahUKEwj3upH5qOj9AhVolGoFHQyoCsUQgU96BAgLEAQ&usg=AOvVaw34DY98zd932sHKAq-TwkFd,"Address: Luchthavenweg 34, 5657 EB Eindhoven, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 40 711 3500",Software company,"Luchthavenweg 34, 5657 EB Eindhoven",Eindhoven
Mansource B.V.,68813090,"Mansource B.V. 5.0  (2) 
Recruiter in the Hague, Netherlands",/url?q=https://www.mansource.com/&sa=U&ved=2ahUKEwi9lKP2qOj9AhWDnGoFHZyCCdoQgU96BAgLEAQ&usg=AOvVaw1JOrIkj0ygJBOoHnuN2s_B,"Address: Laan van Nieuw Oost-Indi� 131, 2593 BM Den Haag, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 70 335 0050",Recruiter,"Laan van Nieuw Oost-Indi� 131, 2593 BM Den Haag",Haag
ManpowerGroup Staff B.V.,33142697,"ManpowerGroup Netherlands 3.3  (32) 
Temp agency in Diemen, Netherlands",/url?q=https://www.manpower.nl/nl/over-manpower/vestigingen/uitzendbureau-amsterdam&sa=U&ved=2ahUKEwicwvH1qOj9AhUHk2oFHah6Dy8QgU96BAgMEAQ&usg=AOvVaw2qvGoXoNdPZbpPkfae_lrr,"Address: Diemerhof 16, 1112 XN Diemen, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 660 2222",Temp agency,"Diemerhof 16, 1112 XN Diemen",Diemen
Manhattan Associates Europe B.V.,32079353,"Manhattan Associates Europe B.V. 4.5  (8) 
Software company in Nieuwegein, Netherlands",/url?q=http://www.manh.com/nl-nl&sa=U&ved=2ahUKEwiH0qfzqOj9AhUinGoFHcgHCeYQgU96BAgMEAQ&usg=AOvVaw25-0jqgFfzRjj4EohOCa_z,"Address: Buizerdlaan 2, 3435 SB Nieuwegein, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 30 214 3000",Software company,"Buizerdlaan 2, 3435 SB Nieuwegein",Nieuwegein
Mampaey Offshore Industries B.V.,23060331,"Mampaey Offshore Industries 5.0  (4) 
Ship building in Dordrecht, Netherlands",/url?q=http://www.mampaey.com/&sa=U&ved=2ahUKEwiu6azyqOj9AhUykWoFHT-JAkcQgU96BAgKEAQ&usg=AOvVaw1h_QUh78smimlBv0ZqEYu9,"Address: Jacobus Lipsweg 38, 3316 BP Dordrecht, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 78 617 3322",Ship build,"Jacobus Lipsweg 38, 3316 BP Dordrecht",Dordrecht
Mammoet Europe B.V.,33275222,"Mammoet Schiedam 4.3  (364) 
Transportation service in Schiedam, Netherlands",/url?q=http://www.mammoet.com/&sa=U&ved=2ahUKEwiP9orxqOj9AhUDk2oFHUHPAx8QgU96BAgKEAQ&usg=AOvVaw1bMJcw89ja1UsLesq598pg,"Address: Karel Doormanweg 47, Harbor 580, 3115 JD Schiedam, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 10 204 2424",Transportation service,"Karel Doormanweg 47, Harbor 580, 3115 JD Schiedam",Schiedam
Mambu Tech B.V.,70283737,"Mambu Tech B.V. 4.9  (9) 
Software company in Amsterdam, Netherlands",/url?q=https://mambu.com/&sa=U&ved=2ahUKEwjnndDwqOj9AhXElmoFHTIzCSQQgU96BAgMEAQ&usg=AOvVaw1jhpGJtL2NrIskB3TzafIV,"Address: Piet Heinkade 55, 1019 GM Amsterdam, NetherlandsHours: Open 24 hours",Software company,"Piet Heinkade 55, 1019 GM Amsterdam",Amsterdam
"Mama Cash, Stichting",41202535,"Stichting Mama Cash 4.6  (13) 
Non-profit organization in Amsterdam, Netherlands",/url?q=http://www.mamacash.nl/&sa=U&ved=2ahUKEwixw9XvqOj9AhWzl2oFHT7JB-AQgU96BAgMEAQ&usg=AOvVaw2-EibZ6LidQk3NW7bDw-EY,"Address: Eerste Helmersstraat 17-2HG, 1054 CX Amsterdam, NetherlandsPhone: +31 20 515 8700",Non-profit organization,"Eerste Helmersstraat 17-2HG, 1054 CX Amsterdam",Amsterdam
Malvern Panalytical B.V.,6069492,"Malvern Panalytical B.V. 4.2  (10) 
Manufacturer in Almelo, Netherlands",/url?q=https://www.malvernpanalytical.com/%3Futm_source%3Dgooglemaps%26utm_medium%3Dorganic%26utm_campaign%3Dmaplistingalmelo&sa=U&ved=2ahUKEwiIrajvqOj9AhWnmmoFHQC0BYkQgU96BAgKEAQ&usg=AOvVaw2A8MS9Nsy6h7oY7q1OJ87I,"Address: Lelyweg 1, 7602 EA Almelo, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 546 534 444",Manufacturer,"Lelyweg 1, 7602 EA Almelo",Almelo
Makita Nederland B.V.,17038197,"Makita Nederland B.V. 2.9  (30) 
Wholesaler in Eindhoven, Netherlands",/url?q=http://www.makita.nl/&sa=U&ved=2ahUKEwiPiZnuqOj9AhVrnGoFHf50DSIQgU96BAgLEAQ&usg=AOvVaw3IazwiSXTUQuV-Y_78rmTZ,"Address: Park Forum 1101, 5657 HK Eindhoven, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 40 206 4040",Wholesaler,"Park Forum 1101, 5657 HK Eindhoven",Eindhoven
Makers of Sustainable Spaces,69961050,"Makers of Sustainable Spaces 5.0  (5) 
Architectural designer in Amsterdam, Netherlands",/url?q=http://www.moss.amsterdam/&sa=U&ved=2ahUKEwjl6vnsqOj9AhV7lGoFHYcSB-wQgU96BAgJEAQ&usg=AOvVaw0vMgEOUXirXtv4zCkqL7mq,"Address: Danzigerbocht 55, 1013 AM Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 85 060 8065",Architectural designer,"Danzigerbocht 55, 1013 AM Amsterdam",Amsterdam
Makeblock Europe B.V.,68916752,"Makeblock Europe BV 5.0  (6) 
Corporate office",/url?q=https://education.makeblock.com/&sa=U&ved=2ahUKEwjY88rsqOj9AhUNnGoFHRS9BdAQgU96BAgLEAQ&usg=AOvVaw1Ev5QbJu3hpPvmvPFZ8IBi,"Address: Oostergracht 48, 3763 LZ Soest, NetherlandsHours: Closed ⋅ Opens 9 AM Mon",Corporate office,"Oostergracht 48, 3763 LZ Soest",Soest
Make-A-Wish Foundation International (Dutch Office),76833690,"Make-A-Wish 3.9  (27) 
Non-profit organization in Hilversum, Netherlands",/url?q=https://makeawishnederland.org/&sa=U&ved=2ahUKEwjEt_jrqOj9AhWzmmoFHUrQCc8QgU96BAgMEAQ&usg=AOvVaw17KcoB8VO5K2SWJETXx-hW,"Address: Frits Spitsstraat 1, 1217 HK Hilversum, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 35 203 5300",Non-profit organization,"Frits Spitsstraat 1, 1217 HK Hilversum",Hilversum
Majorel Holding Nederland B.V.,73953881,"Majorel Holding Nederland B.V. 5.0  (2) 
Corporate office",/url?q=https://majorel.com/&sa=U&ved=2ahUKEwjX1oHrqOj9AhVglGoFHYU0C_8QgU96BAgMEAQ&usg=AOvVaw0BH5gRFpf0EH8b-uyINALn,"Address: Teleportboulevard 126, 1043 EJ Amsterdam, NetherlandsPhone: +31 20 214 6221",Corporate office,"Teleportboulevard 126, 1043 EJ Amsterdam",Amsterdam
Mainfreight Logistic Services Netherlands B.V.,9043843,"Mainfreight 's-Heerenberg Logistic Services 4.1  (285) 
Logistics service in Azewijn, Netherlands",/url?q=http://www.mainfreight.com/nl&sa=U&ved=2ahUKEwiziqDpqOj9AhVUlmoFHe0LByEQgU96BAgNEAQ&usg=AOvVaw3wvw8bwY8qtY9q87TWPsrM,"Address: Transportweg 5, 7041 KK 's-Heerenberg, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 314 678 111",Logistics service,"Transportweg 5, 7041 KK 's-Heerenberg",'s-Heerenberg
Mainfreight B.V.,24281333,"Mainfreight Europe 4.4  (101) 
Logistics service in 's-Heerenberg, Netherlands",/url?q=http://www.mainfreight.com/nl&sa=U&ved=2ahUKEwi786LoqOj9AhVSmmoFHVnyCIUQgU96BAgNEAQ&usg=AOvVaw24yGote8EgTnLwz_EyABX7,"Address: Industriestraat 12, 7041 GD 's-Heerenberg, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 314 678 111",Logistics service,"Industriestraat 12, 7041 GD 's-Heerenberg",'s-Heerenberg
Mainetti B.V.,17028657,"Mainetti BV 4.0  (3) 
Manufacturer in Helmond, Netherlands",/url?q=https://www.mainetti.com/&sa=U&ved=2ahUKEwjD1-7nqOj9AhVvnWoFHbH7CroQgU96BAgMEAQ&usg=AOvVaw0oKu-9HnXvkZRJYtD4rJuT,"Address: Hooibeemd 2, 5705 DD Helmond, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 492 596 100",Manufacturer,"Hooibeemd 2, 5705 DD Helmond",Helmond
Maharishi Ayurveda Europe B.V.,67873251,"Maharishi Ayurveda Europe B.V. 5.0  (8) 
Vitamin & supplements store in Roermond, Netherlands",/url?q=http://www.ayurveda.nl/&sa=U&ved=2ahUKEwin7PPmqOj9AhXUk2oFHRLQC6YQgU96BAgMEAQ&usg=AOvVaw0iTSsfy0amljMHYjYi_Wrx,"Address: Looskade 20, 6041 LE Roermond, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 475 529 111",Vitam,"Looskade 20, 6041 LE Roermond",Roermond
Magno IT Recruitment B.V.,53805836,"Magno IT Recruitment B.V. 3.4  (9) 
Recruiter in Baarn, Netherlands",/url?q=https://www.magno-it.nl/&sa=U&ved=2ahUKEwi1v-7lqOj9AhVYl2oFHbidCt0QgU96BAgLEAQ&usg=AOvVaw1a3C16L3YnfaIShT75ml7P,"Address: Oude Utrechtseweg 16, 3743 KN Baarn, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 85 401 0197",Recruiter,"Oude Utrechtseweg 16, 3743 KN Baarn",Baarn
Magno IT B.V.,76650669,"Magno IT Recruitment B.V. 3.4  (9) 
Recruiter in Baarn, Netherlands",/url?q=https://www.magno-it.nl/&sa=U&ved=2ahUKEwjYhbTlqOj9AhXYlWoFHeRiCLUQgU96BAgLEAQ&usg=AOvVaw2KViMao_oMk22VPlOefkVG,"Address: Oude Utrechtseweg 16, 3743 KN Baarn, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 85 401 0197",Recruiter,"Oude Utrechtseweg 16, 3743 KN Baarn",Baarn
MAGNETO special anodes B.V.,24270706,"Magneto Special Anodes B.V. 4.0  (4) 
Manufacturer in Schiedam, Netherlands",/url?q=http://www.magneto.nl/&sa=U&ved=2ahUKEwiH9ITlqOj9AhXelmoFHW5QB1kQgU96BAgLEAQ&usg=AOvVaw1Mx_sbk4EV7BG-ELT0yY4z,"Address: Calandstraat 109, 3125 BA Schiedam, NetherlandsHours: Closed ⋅ Opens 7:30 AM MonPhone: +31 10 262 0788",Manufacturer,"Calandstraat 109, 3125 BA Schiedam",Schiedam
MagnaView B.V.,9145879,"MagnaView B.V. 5.0  (5) 
Business to business service in Eindhoven, Netherlands",,"Address: Kennedyplein 244, 5611 ZT Eindhoven, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 40 751 6321",Bus,"Kennedyplein 244, 5611 ZT Eindhoven",Eindhoven
Magenta Technology Consultants B.V.,27166245,"Technology Consultants bv (TC) 4.0  (2) 
Consultant in Brandwijk, Netherlands",/url?q=http://www.techcon.nl/&sa=U&ved=2ahUKEwiXktXiqOj9AhUTlmoFHdXsA9cQgU96BAgKEAQ&usg=AOvVaw38WJ4CxGSYC5KJe4iaDRsb,"Address: Nieuwe Dam 1, 2973 AH Molenaarsgraaf, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 184 647 700",Consultant,"Nieuwe Dam 1, 2973 AH Molenaarsgraaf",Molenaarsgraaf
Maersk Line Netherlands B.V.,24139123,"Maersk Line Netherlands B.V. 4.2  (51) 
Transportation service in Rotterdam, Netherlands",/url?q=https://www.maersk.com/local-information/europe/netherlands&sa=U&ved=2ahUKEwjG9sHgqOj9AhXllWoFHfmGCHMQgU96BAgMEAQ&usg=AOvVaw3_f4GgcsO1J7yokkByqhU0,"Address: Boompjes 40, 3011 XB Rotterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 10 899 4530",Transportation service,"Boompjes 40, 3011 XB Rotterdam",Rotterdam
Madison People International B.V.,27247337,"Madison People International BV 3.5  (15) 
Corporate office",/url?q=https://madisonpeople.com/&sa=U&ved=2ahUKEwjYx4bgqOj9AhWPmmoFHbJuDF0QgU96BAgKEAQ&usg=AOvVaw061O4h0UWKnIfVNvO2xbD1,"Address: Capellalaan 115, 2132 JM Hoofddorp, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 870 1181",Corporate office,"Capellalaan 115, 2132 JM Hoofddorp",Hoofddorp
Macroscoop B.V.,27139432,"Macroscoop 4.0  (2) 
Software company in the Hague, Netherlands",/url?q=https://www.macroscoop.nl/&sa=U&ved=2ahUKEwj81ZbfqOj9AhWanGoFHUb7BsEQgU96BAgKEAQ&usg=AOvVaw2C8gst9LL3amoewNTftRX8,"Address: Bezuidenhoutseweg 161, 2594 AG Den Haag, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 15 310 4100",Software company,"Bezuidenhoutseweg 161, 2594 AG Den Haag",Haag
Macrogen Europe B.V.,69716099,"Macrogen Europe BV 5.0  (2) 
Corporate office",,"Address: Meibergdreef 57, 1105 BA Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 333 7563",Corporate office,"Meibergdreef 57, 1105 BA Amsterdam",Amsterdam
Mackay-Rotterdam B.V.,20136508,"Mackay Marine - Netherlands 4.0  (9) 
Marine supply store in Moerdijk, Netherlands",/url?q=http://www.mackaycomm.com/&sa=U&ved=2ahUKEwjW-IHeqOj9AhVEmGoFHcOdAHEQgU96BAgMEAQ&usg=AOvVaw0XzytMOCfc12zqL5LnkbGs,"Address: Plaza 24F, 4782 SK Moerdijk, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 168 744 021",Mar,"Plaza 24F, 4782 SK Moerdijk",Moerdijk
Machinefabriek Kreber B.V.,24226178,"Kreber B.V. 4.6  (17) 
Machining manufacturer in Vlaardingen, Netherlands",/url?q=http://www.kreber.nl/&sa=U&ved=2ahUKEwi4_rrdqOj9AhUrl2oFHfTKCBsQgU96BAgLEAQ&usg=AOvVaw13ohZV80B-koREyFBUYPM8,"Address: Kon. Wilhelminahaven Zuidwestzijde 25, 3134 KG Vlaardingen, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 10 248 0222",Mach,"Kon. Wilhelminahaven Zuidwestzijde 25, 3134 KG Vlaardingen",Vlaardingen
Machinefabriek Heerbaart B.V.,6084094,"Machinefabriek Heerbaart BV 5.0  (3) 
Metal processing company in Hengelo, Netherlands",/url?q=http://www.machinefabriek-heerbaart.com/&sa=U&ved=2ahUKEwj2qYzdqOj9AhXYlGoFHbJlBV8QgU96BAgLEAQ&usg=AOvVaw3HeylVQAijYGIajAvM117X,"Address: Alfred Marshallstraat 13, 7559 SE Hengelo, NetherlandsHours: Closed ⋅ Opens 7 AM MonPhone: +31 74 242 7575",Metal process,"Alfred Marshallstraat 13, 7559 SE Hengelo",Hengelo
Machinefabriek Gebrs. Frencken B.V.,17047541,"Frencken 4.6  (14) 
Semi conductor supplier in Eindhoven, Netherlands",/url?q=http://www.frencken.nl/&sa=U&ved=2ahUKEwi3gNLcqOj9AhUulWoFHRF6CTcQgU96BAgLEAQ&usg=AOvVaw3GjZD2GtsUdQENF737rWVv,"Address: Hurksestraat 16, 5652 AJ Eindhoven, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 40 250 7507",Semi conductor supplier,"Hurksestraat 16, 5652 AJ Eindhoven",Eindhoven
Macee Solutions B.V.,68965044,"Macee BV 3.7  (6) 
Human resource consulting in Arnhem, Netherlands",/url?q=http://www.macee.com/&sa=U&ved=2ahUKEwjSws3bqOj9AhWplGoFHSX7AdMQgU96BAgLEAQ&usg=AOvVaw3R2OTOnS_rW54cJ4_hvsDq,"Address: Stationsplein 11-3, 6811 KG Arnhem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 26 744 0024",Human resource consult,"Stationsplein 11-3, 6811 KG Arnhem",Arnhem
Macee B.V.,58546758,"Macee BV 3.7  (6) 
Human resource consulting in Arnhem, Netherlands",/url?q=http://www.macee.com/&sa=U&ved=2ahUKEwi1lZ3bqOj9AhXrnGoFHaGuC0EQgU96BAgLEAQ&usg=AOvVaw0dZd4WL8bqErOUNtTz-CQy,"Address: Stationsplein 11-3, 6811 KG Arnhem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 26 744 0024",Human resource consult,"Stationsplein 11-3, 6811 KG Arnhem",Arnhem
Maastro clinic,41070330,"Maastro 4.9  (20) 
Medical clinic in Maastricht, Netherlands",/url?q=http://www.maastro.nl/&sa=U&ved=2ahUKEwjVwrrVqOj9AhVWm2oFHcRXAKMQgU96BAgLEAQ&usg=AOvVaw037YtZWzch05yOwjzc1ZH-,"Address: Doctor Tanslaan 12, 6229 ET Maastricht, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 88 445 5600",Medical cl,"Doctor Tanslaan 12, 6229 ET Maastricht",Maastricht
Maandag Interim Professionals B.V.,37098483,"Maandag WMC 4.4  (17) 
Recruiter in Amsterdam, Netherlands",/url?q=http://www.maandag.nl/&sa=U&ved=2ahUKEwiarMbSqOj9AhV-nGoFHWAPDpMQgU96BAgLEAQ&usg=AOvVaw1LNYj2wY1Qazq6VmYwvSyH,"Address: Transformatorweg 94, 1014 AK Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 88 622 7000",Recruiter,"Transformatorweg 94, 1014 AK Amsterdam",Amsterdam
M7 Real Estate Netherlands B.V.,58945253,"M7 Real Estate 5.0  (2) 
Property management company in Amsterdam, Netherlands",/url?q=https://www.m7re.eu/&sa=U&ved=2ahUKEwjwzb7RqOj9AhVAnWoFHfHoAh0QgU96BAgMEAQ&usg=AOvVaw3DCq-ZfpnjyBCyqM90aSTn,"Address: Generaal Vetterstraat 72, 1059 BW Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 760 9777",Property management company,"Generaal Vetterstraat 72, 1059 BW Amsterdam",Amsterdam
"M+P, raadgevende ingenieurs B.V.",34060542,"M+P - raadgevende ingenieurs 4.7  (6) 
Engineering consultant in Vught, Netherlands",/url?q=http://www.mp.nl/&sa=U&ved=2ahUKEwjS047RqOj9AhXbk2oFHWqhCMYQgU96BAgLEAQ&usg=AOvVaw2X4drDmYUsjQ7qGK7lxEuA,"Address: Wolfskamerweg 47, 5262 ES Vught, NetherlandsPhone: +31 73 658 9050",Eng,"Wolfskamerweg 47, 5262 ES Vught",Vught
M Moser Associates B.V.,73319074,"M Moser Associates 5.0  (3) 
Design agency in Amsterdam, Netherlands",/url?q=https://www.mmoser.com/%3Futm_source%3Damsterdamofficegooglelisting&sa=U&ved=2ahUKEwjk0enOqOj9AhXFnGoFHbr5CoUQgU96BAgMEAQ&usg=AOvVaw1UE7_WmTFjG2T5cFoLqTSg,"Address: Keizersgracht 555, 1017 DR Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 214 6033",Design agency,"Keizersgracht 555, 1017 DR Amsterdam",Amsterdam
Lyneth B.V.,27094809,"Lyneth B.V. 2.3  (3) 
Contractor in the Hague, Netherlands",,"Address: Paviljoensgracht 7, 2512 BL Den Haag, NetherlandsPhone: +31 70 345 9077",Contractor,"Paviljoensgracht 7, 2512 BL Den Haag",Haag
Luxottica The Netherlands B.V.,33281895,"Luxottica The Netherlands BV 2.1  (7) 
Optical products manufacturer in Amsterdam, Netherlands",/url?q=http://www.essilorluxottica.com/&sa=U&ved=2ahUKEwih_pjLqOj9AhX1kWoFHduiCPgQgU96BAgLEAQ&usg=AOvVaw27vToeXVa39iioVudznCq7,"Address: Eduard van Beinumstraat 24, 1077 CZ Amsterdam, NetherlandsHours: Closed ⋅ Opens 8:45 AM MonPhone: +31 20 713 3451",Optical products manufacturer,"Eduard van Beinumstraat 24, 1077 CZ Amsterdam",Amsterdam
Lux-mate Europe B.V.,69619174,"Lux-Mate Europe B.V. 3.7  (3) 
Corporate office",,"Address: Koolhovenlaan 80, 1119 NH Schiphol-Rijk, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 215 9002",Corporate office,"Koolhovenlaan 80, 1119 NH Schiphol-Rijk",Schiphol-Rijk
Lux Research B.V.,50367382,"Lux Research B.V. 4.0  (10) 
Market researcher in Amsterdam, Netherlands",/url?q=http://www.luxresearchinc.com/&sa=U&ved=2ahUKEwi00bCnp-j9AhXtlWoFHbuWBQgQgU96BAgMEAQ&usg=AOvVaw1pqBm1mWj7ydfUAP4ceoeE,"Address: De Boelelaan 32, 1083 HJ Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 808 7530",Market researcher,"De Boelelaan 32, 1083 HJ Amsterdam",Amsterdam
Lutech Resources B.V.,27339069,"Lutech Resources B.V. 1.0  (1) 
Manufacturer in the Hague, Netherlands",/url?q=http://www.lutechresources.com/&sa=U&ved=2ahUKEwjky_-mp-j9AhWcmGoFHbwCDJAQgU96BAgLEAQ&usg=AOvVaw39jhdG72OHcmK19tj8NSjT,"Address: Pr. Beatrixlaan 35, 2595 AK Den Haag, NetherlandsPhone: +31 70 373 3100",Manufacturer,"Pr. Beatrixlaan 35, 2595 AK Den Haag",Haag
Lutech Projects B.V.,67250750,"Lutech Resources B.V. 1.0  (1) 
Manufacturer in the Hague, Netherlands",/url?q=http://www.lutechresources.com/&sa=U&ved=2ahUKEwiW6bOmp-j9AhWomGoFHY2PD1EQgU96BAgLEAQ&usg=AOvVaw2L8BR3AQGORn_G0N7tMv-2,"Address: Pr. Beatrixlaan 35, 2595 AK Den Haag, NetherlandsPhone: +31 70 373 3100",Manufacturer,"Pr. Beatrixlaan 35, 2595 AK Den Haag",Haag
Luscii healthtech B.V.,53119843,"Luscii 3.5  (8) 
Home health care service in Utrecht, Netherlands",/url?q=https://luscii.com/&sa=U&ved=2ahUKEwiNyI2lp-j9AhVAnWoFHSQnAvsQgU96BAgLEAQ&usg=AOvVaw2eMJ_hLVrCeVTVijGKlzTI,"Address: Nicolaas Beetsstraat 216, 3511 HG Utrecht, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 85 130 5851",Home health care service,"Nicolaas Beetsstraat 216, 3511 HG Utrecht",Utrecht
Lurfs Engineering B.V.,70021074,"Lurfs Engineering 5.0  (1) 
Engineering consultant in Rotterdam, Netherlands",/url?q=http://www.lurfs.nl/&sa=U&ved=2ahUKEwiC8dekp-j9AhWalWoFHZKpBBgQgU96BAgKEAQ&usg=AOvVaw1BczdojEfkTfdIDpIUXdPR,"Address: Olympiaweg 4, 3077 AL Rotterdam, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 10 333 0210",Eng,"Olympiaweg 4, 3077 AL Rotterdam",Rotterdam
Lunatech Labs,24426307,"Lunatech 4.5  (21) 
Software company in Rotterdam, Netherlands",/url?q=https://lunatech.com/&sa=U&ved=2ahUKEwimleOjp-j9AhW1lmoFHT88AbkQgU96BAgMEAQ&usg=AOvVaw2Gy52KtnoZq4-KL_OfnmeT,"Address: Hofplein 20, 3032 AC Rotterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 10 750 2600",Software company,"Hofplein 20, 3032 AC Rotterdam",Rotterdam
Luna.nl B.V.,24268199,"Luna.nl B.V. 3.6  (8) 
Internet service provider in Rotterdam, Netherlands",/url?q=https://ek.co/&sa=U&ved=2ahUKEwjljKijp-j9AhWmnWoFHQqTAXwQgU96BAgKEAQ&usg=AOvVaw3gBnIAAnnhETJQE16fO4Zl,"Address: Eendrachtsplein 4, 3012 LA Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 10 750 2000",Internet service provider,"Eendrachtsplein 4, 3012 LA Rotterdam",Rotterdam
LUMO LABS B.V.,71718192,"LUMO labs 4.8  (5) 
Corporate office",/url?q=http://www.lumolabs.io/&sa=U&ved=2ahUKEwj28JKip-j9AhWJlWoFHTSnAPAQgU96BAgLEAQ&usg=AOvVaw0j4rwclWsltp9RzW4iMvxo,"Address: HTC 6a, 5656 AE Eindhoven, NetherlandsHours: Closed ⋅ Opens 8 AM Mon",Corporate office,"HTC 6a, 5656 AE Eindhoven",Eindhoven
Lumileds Netherlands B.V.,17129272,"Lumileds Netherlands bv 5.0  (1) 
Manufacturer in Middelburg, Netherlands",/url?q=http://www.vitrite.com/&sa=U&ved=2ahUKEwiouIyhp-j9AhW2lWoFHbp9AzMQgU96BAgMEAQ&usg=AOvVaw11G1gCHCldE8ubAzcoBEy-,"Address: Elektraweg 1, 4338 PK Middelburg, NetherlandsHours: Closed ⋅ Opens 7:30 AM MonPhone: +31 118 680 201",Manufacturer,"Elektraweg 1, 4338 PK Middelburg",Middelburg
Lumiforte EMEA B.V.,18029088,"Lumiforte Holding BV 4.9  (14) 
Agricultural organization in Baarle-Nassau, Netherlands",/url?q=https://www.lumiforte.com/&sa=U&ved=2ahUKEwikv6Ogp-j9AhV-m2oFHddtCFgQgU96BAgLEAQ&usg=AOvVaw3Y95Cdhp8vOMoSgrZ7k6IZ,"Address: Geerstraat 8, 5111 PS Baarle-Nassau, NetherlandsHours: Closed ⋅ Opens 8:15 AM MonPhone: +31 13 507 5399",Agricultural organization,"Geerstraat 8, 5111 PS Baarle-Nassau",Baarle-Nassau
LUMICKS B.V.,60187263,"LUMICKS 5.0  (7) 
Biotechnology company in Amsterdam, Netherlands",/url?q=http://www.lumicks.com/&sa=U&ved=2ahUKEwj8ka2fp-j9AhUul2oFHf-YBVIQgU96BAgKEAQ&usg=AOvVaw1Tbs3eQHaL0CntXUx9_URI,"Address: Paalbergweg 3, 1105 AG Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 220 0817",Biotechnology company,"Paalbergweg 3, 1105 AG Amsterdam",Amsterdam
